[2023-08-14 12:55:18,426]: INFO: main_deepface : Images saved to static]
[2023-08-14 12:55:18,429]: INFO: main_deepface : images converted to base64]
[2023-08-14 12:55:18,432]: INFO: main_deepface : Deleted the image: ./static/licence.jpg]
[2023-08-14 12:55:18,434]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 12:55:18,436]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 12:55:18,441]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 12:55:18,441]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 12:55:18,443]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:11:47,750]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:11:49,608]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:11:49,651]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:11:49,652]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:11:49,654]: INFO: main_deepface : Deleted the image: ./static/licence.jpg]
[2023-08-14 13:11:49,655]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:11:49,659]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:11:49,662]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:11:49,664]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:11:49,666]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:11:52,496]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:11:54,442]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:11:54,499]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:11:54,501]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:11:54,502]: INFO: main_deepface : Deleted the image: ./static/licence.jpg]
[2023-08-14 13:11:54,505]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:11:54,506]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:11:54,511]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:11:54,511]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:11:54,512]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:11:56,278]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:11:58,126]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:11:58,180]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:11:58,181]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:11:58,182]: INFO: main_deepface : Deleted the image: ./static/licence.jpg]
[2023-08-14 13:11:58,182]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:11:58,184]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:11:58,185]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:11:58,192]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:11:58,195]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:00,336]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:02,245]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:02,293]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:02,295]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:02,296]: INFO: main_deepface : Deleted the image: ./static/licence.jpg]
[2023-08-14 13:12:02,297]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:02,298]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:02,300]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:02,303]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
